cType	SYMBOL	METHODS
PRAD	SPOP	7
PRAD	SUZ12	4
PRAD	TP53	6
PRAD	USP6	1
PRAD	XPO1	1
PRAD	ZFHX3	1
PRAD	ZNF429	1
R	ARID1A	3
R	BAP1	2
R	CDKN2A	1
R	KDM5C	1
R	KEAP1	1
R	KMT2C	1
R	MTOR	2
R	NF2	1
R	PBRM1	3
R	PIK3CA	1
R	PTEN	2
R	SETD2	3
R	SMARCB1	1
R	TP53	2
R	VHL	3
RCCC	ARID1A	1
RCCC	ASXL1	1
RCCC	ATG7	3
RCCC	ATM	1
RCCC	BAP1	4
RCCC	KDM5C	3
RCCC	KMT2C	1
RCCC	LRP1B	1
RCCC	MET	1
RCCC	MTOR	4
RCCC	NF1	1
RCCC	NF2	1
RCCC	PBRM1	4
RCCC	PIK3CA	1
RCCC	PTEN	2
RCCC	RANBP2	1
RCCC	RAP1GDS1	1
RCCC	SETD2	3
RCCC	SPEN	1
RCCC	STAG2	1
RCCC	TP53	2
RCCC	VHL	5
RCH	CDKN1A	1
RCH	CHD4	1
RCH	KMT2D	1
RCH	MTOR	1
RCH	PTEN	1
RCH	TP53	5
RCH	TSC2	1
RCH	UBR5	1
RHBDS	CTNNB1	1
RHBDS	LRP1B	2
RPC	ARID1A	1
RPC	ARID1B	1
RPC	BAP1	1
RPC	BRAF	1
RPC	CHD2	1
RPC	CUL3	2
RPC	ERBB2	1
RPC	KDM6A	1
RPC	KMT2C	1
RPC	KRAS	2
RPC	MET	4
RPC	NF2	1
RPC	NFE2L2	1
RPC	NUP214	1
RPC	PBRM1	2
RPC	PIK3CA	1
RPC	PRDM2	1
RPC	PTEN	1
RPC	SETD2	1
RPC	SMARCA4	1
RPC	STAG2	1
RPC	TET1	1
RPC	TP53	1
S	ATRX	3
S	NF1	1
S	PIK3CA	1
S	PTEN	1
S	RB1	3
S	RET	1
S	TET2	1
S	TP53	5
SBCC	ARHGEF10L	1
SBCC	ARID1A	1
SBCC	CASP8	1
SBCC	CREBBP	1
SBCC	FAT1	1
SBCC	FAT4	1
SBCC	FLT4	1
SBCC	KMT2A	1
SBCC	LATS1	1
SBCC	LRP1B	1
SBCC	MECOM	1
SBCC	MSN	1
SBCC	MYH11	1
SBCC	MYH9	1
SBCC	NOTCH1	1
SBCC	NOTCH2	1
SBCC	PIK3CA	1
SBCC	PPM1D	1
SBCC	PPP6C	1
SBCC	PTCH1	3
SBCC	PTPN14	3
SBCC	RUNX1T1	1
SBCC	SMARCA4	1
SBCC	SMO	1
SBCC	TET1	1
SBCC	TOP1	1
SBCC	TP53	4
SCLC	CREBBP	1
SCLC	EP300	1
SCLC	FAT4	1
SCLC	KMT2C	1
SCLC	KMT2D	1
SCLC	LIFR	1
SCLC	LRP1B	1
SCLC	NOTCH1	1
SCLC	RB1	3
SCLC	RUNX1T1	1
SCLC	TP53	5
SG	CREBBP	3
SG	KMT2C	3
SG	NOTCH1	1
SG	SPEN	1
SMALL_INTESTINE_CANCER	APC	1
SMALL_INTESTINE_CANCER	CLIP1	1
SMALL_INTESTINE_CANCER	KRAS	4
SMALL_INTESTINE_CANCER	LRP1B	1
SMALL_INTESTINE_CANCER	SMAD4	1
SMALL_INTESTINE_CANCER	TP53	3
ST	APC	4
ST	ARHGEF10L	1
ST	ARHGEF12	1
ST	ARID1A	3
ST	ARID2	2
ST	ATM	1
ST	BCL9	1
ST	BCLAF1	1
ST	BCOR	3
ST	BMPR1A	1
ST	BRAF	1
ST	CACNA1D	1
ST	CARS	1
ST	CASP8	1
ST	CDH1	5
ST	CDH11	1
ST	CDK12	1
ST	CDKN2A	5
ST	CLIP1	1
ST	DCSTAMP	2
ST	ERBB2	3
ST	ERBB3	1
ST	FAT3	1
ST	FAT4	1
ST	FBXW7	1
ST	FHIT	1
ST	KDM6A	1
ST	KMT2C	2
ST	KMT2D	3
ST	KRAS	4
ST	LRP1B	1
ST	MAP2K7	3
ST	MYH9	1
ST	NIN	1
ST	NRG1	1
ST	NSD1	1
ST	PIK3CA	5
ST	PIK3R1	1
ST	PPP3CA	3
ST	PRF1	1
ST	PRKCB	1
ST	PRRX1	1
ST	PTEN	1
ST	RB1	1
ST	RECQL4	1
ST	RELA	3
ST	RHOA	3
ST	RNF43	2
ST	SDC4	1
ST	SMAD4	6
ST	TET1	1
ST	TP53	5
ST	TRIM49C	3
THCA	ABL2	1
THCA	AFF3	1
THCA	AKT1	1
THCA	ARID2	1
THCA	ATM	1
THCA	BRAF	6
THCA	CHEK2	1
THCA	CUX1	1
THCA	DGCR8	1
THCA	DNMT3A	3
THCA	EIF1AX	2
THCA	EPHA7	1
THCA	FAM186A	2
THCA	HRAS	4
THCA	HSP90AA1	1
THCA	KMT2A	1
THCA	KMT2C	2
THCA	KRAS	1
THCA	LRP1B	1
THCA	MAP3K1	1
THCA	MEN1	1
THCA	NEFH	4
THCA	NF1	1
THCA	NRAS	6
THCA	PABPC1	3
THCA	PAK2	2
THCA	PDE4DIP	1
THCA	PDPR	2
THCA	PTEN	1
THCA	RBFOX2	3
THCA	RET	2
THCA	RGPD3	1
THCA	RHPN2	3
THCA	STAG2	1
THCA	TP53	4
THCA	USP6	1
THYM	BCOR	1
THYM	CYLD	1
THYM	EIF1AX	1
THYM	GTF2I	6
THYM	HRAS	3
THYM	NDRG1	1
THYM	NRAS	1
THYM	SF3B1	1
THYM	SMARCA4	1
THYM	TP53	1
THYM	VHL	1
THYM	ZFHX3	1
UCEC	ABL1	1
UCEC	ABL2	1
UCEC	ACVR1	2
UCEC	AKT1	4
UCEC	ARHGAP35	3
UCEC	ARID1A	3
UCEC	ATF7IP	2
UCEC	ATM	4
UCEC	BCOR	2
UCEC	BRAF	1
UCEC	CASP8	1
UCEC	CCND1	3
UCEC	CHD4	4
UCEC	CTCF	3
UCEC	CTNNB1	5
UCEC	CUX1	2
UCEC	CYSLTR2	1
UCEC	DICER1	2
UCEC	EIF1AX	1
UCEC	ERBB2	1
UCEC	ERBB3	2
UCEC	ESR1	1
UCEC	FAT1	2
UCEC	FBXW7	6
UCEC	FGFR2	5
UCEC	FOXA2	4
UCEC	HOXA11	1
UCEC	ING1	2
UCEC	KMT2C	1
UCEC	KRAS	5
UCEC	LZTR1	1
UCEC	MAP3K1	1
UCEC	MAX	2
UCEC	MECOM	2
UCEC	MTOR	1
UCEC	MYCN	1
UCEC	NFE2L2	3
UCEC	NOTCH1	1
UCEC	NRAS	3
UCEC	NSD1	2
UCEC	NUMA1	1
UCEC	PBRM1	2
UCEC	PIK3CA	6
UCEC	PIK3R1	6
UCEC	PPP2R1A	6
UCEC	PTEN	6
UCEC	RB1	2
UCEC	RBM39	2
UCEC	RNF213	1
UCEC	RRAS2	2
UCEC	SLAMF6	2
UCEC	SOS1	3
UCEC	SOX17	2
UCEC	SPOP	4
UCEC	TCF7L2	1
UCEC	TP53	5
UCEC	TP63	1
UCEC	U2AF1	1
UCEC	ZFHX3	4
UCS	ARID1A	3
UCS	BCOR	1
UCS	CHD4	4
UCS	ERBB3	1
UCS	FAM135B	1
UCS	FBXW7	6
UCS	HIP1	1
UCS	KRAS	4
UCS	LPP	1
UCS	LRP1B	1
UCS	NSD1	1
UCS	PDGFRB	1
UCS	PIK3CA	4
UCS	PIK3R1	1
UCS	PPP2R1A	4
UCS	PTEN	4
UCS	RB1	1
UCS	SPOP	2
UCS	TP53	5
UCS	U2AF1	1
UCS	ZBTB7B	2
UVM	APC	1
UVM	BAP1	3
UVM	CYSLTR2	3
UVM	EIF1AX	2
UVM	FAT1	1
UVM	GNA11	5
UVM	GNAQ	6
UVM	LRP1B	1
UVM	PLCB4	3
UVM	PPP2R1A	1
UVM	SF3B1	4
VULVA_CANCER	APC	1
VULVA_CANCER	BRCA2	1
VULVA_CANCER	CASP8	1
VULVA_CANCER	CDKN2A	3
VULVA_CANCER	FANCA	1
VULVA_CANCER	FAT1	1
VULVA_CANCER	FAT2	2
VULVA_CANCER	HRAS	1
VULVA_CANCER	KMT2B	3
VULVA_CANCER	KMT2C	1
VULVA_CANCER	LATS2	1
VULVA_CANCER	NOTCH1	1
VULVA_CANCER	PIK3CA	1
VULVA_CANCER	PML	1
VULVA_CANCER	PTEN	1
VULVA_CANCER	PTPRD	1
VULVA_CANCER	TP53	3
WT	AMER1	1
WT	MLLT1	1
WT	TP53	5
